Dataset,Phase,Algo,Points,Queries,Action,BuildTime,UpdateTime,SearchTime,Recall,Precision,QPS,peak_mb,avg_mb,start_mb,end_mb,growth_mb,Threading
imdb_wiki,3,Linscan (budget: 1),500000,1000,Update,0.0,51.5293,324.17321,0.0,0.1123,3084.7706,29404.29,27928.08,26367.79,26367.55,3036.5,True
imdb_wiki,1,Linscan (budget: 10),300000,1000,Build,77.7123,0.0,883.38256,0.7041,0.7041,1132.0124,33234.02,28862.95,26367.55,26428.91,6866.47,True
imdb_wiki,2,Linscan (budget: 10),301000,1000,Update,0.0,0.2569,884.7003,0.0,0.702,1130.3263,25251.66,25242.89,25251.66,25213.68,0.0,True
imdb_wiki,3,Linscan (budget: 10),500000,1000,Update,0.0,51.7485,903.27859,0.0,0.5896,1107.0782,29768.43,26851.48,25213.68,25213.32,4554.75,True
imdb_wiki,1,Linscan (budget: 100),300000,1000,Build,76.9184,0.0,6549.95894,0.9667,0.9667,152.6727,32079.78,27707.17,25213.32,25274.67,6866.46,True
imdb_wiki,2,Linscan (budget: 100),301000,1000,Update,0.0,0.2574,6551.33367,0.0,0.9663,152.6407,24111.66,24102.67,24111.66,24069.69,0.0,True
imdb_wiki,3,Linscan (budget: 100),500000,1000,Update,0.0,51.415,6568.12239,0.0,0.9242,152.2505,29383.56,26416.24,24069.69,24069.32,5313.88,True
imdb_wiki,1,Linscan (budget: 1000),300000,1000,Build,77.9654,0.0,54221.17686,0.9992,0.9992,18.443,32080.19,27608.58,24069.32,24130.66,8010.87,True
imdb_wiki,2,Linscan (budget: 1000),301000,1000,Update,0.0,0.2548,54410.72941,0.0,0.9992,18.3787,24113.66,24103.51,24113.66,24069.69,0.0,True
imdb_wiki,3,Linscan (budget: 1000),500000,1000,Update,0.0,51.2642,63012.86721,0.0,0.9989,15.8698,28624.44,25721.07,24069.69,24069.32,4554.75,True
imdb_wiki,1,Linscan (base),300000,1000,Build,78.0035,0.0,54391.42227,0.9992,0.9992,18.3853,32080.19,27608.58,24069.32,24130.66,8010.87,True
imdb_wiki,2,Linscan (base),301000,1000,Update,0.0,0.2562,54598.63877,0.0,0.9991,18.3155,24116.66,24106.6,24116.66,24069.69,0.0,True
imdb_wiki,3,Linscan (base),500000,1000,Update,0.0,51.1552,90949.06688,0.0,0.9991,10.9952,29383.57,26415.15,24069.69,24069.32,5313.88,True
imdb_wiki,1,Cufe (budget: 1),300000,1000,Build,80.7992,0.0,306.60725,0.431,0.431,3261.5015,33224.6,28657.05,24069.32,24130.67,9155.28,True
imdb_wiki,2,Cufe (budget: 1),301000,1000,Update,0.0,0.2754,308.01702,0.0,0.4352,3246.5739,24120.67,24103.79,24120.67,24069.69,0.0,True
imdb_wiki,3,Cufe (budget: 1),500000,1000,Update,0.0,54.0612,311.2402,0.0,0.269,3212.9526,28624.44,25753.6,24069.69,24069.32,4554.75,True
imdb_wiki,1,Cufe (budget: 10),300000,1000,Build,81.7459,0.0,887.38084,0.5484,0.5484,1126.9119,32080.19,27657.29,24069.32,24130.67,8010.87,True
imdb_wiki,2,Cufe (budget: 10),301000,1000,Update,0.0,0.2772,880.93448,0.0,0.5484,1135.1582,24125.67,24110.47,24125.67,24069.69,0.0,True
imdb_wiki,3,Cufe (budget: 10),500000,1000,Update,0.0,53.7006,881.58131,0.0,0.5204,1134.3253,28624.44,25750.29,24069.69,24069.32,4554.75,True
imdb_wiki,1,Cufe (budget: 100),300000,1000,Build,81.6686,0.0,6558.69675,0.5551,0.5551,152.4693,32066.24,27558.27,24069.32,24130.67,7996.92,True
imdb_wiki,2,Cufe (budget: 100),301000,1000,Update,0.0,0.2724,6547.82796,0.0,0.5551,152.7224,24130.67,24118.0,24130.67,24071.52,0.0,True
imdb_wiki,3,Cufe (budget: 100),500000,1000,Update,0.0,54.3756,6549.07703,0.0,0.5411,152.6933,28626.27,25752.43,24071.52,24071.52,4554.75,True
imdb_wiki,1,Cufe (budget: 1000),300000,1000,Build,81.2086,0.0,27367.99455,0.5552,0.5552,36.539,32046.44,27559.32,24071.52,24130.68,7974.92,True
imdb_wiki,2,Cufe (budget: 1000),301000,1000,Update,0.0,0.2773,27433.2068,0.0,0.5552,36.4522,24128.68,24117.04,24128.68,24070.52,0.0,True
imdb_wiki,3,Cufe (budget: 1000),500000,1000,Update,0.0,53.7391,45993.57224,0.0,0.5412,21.7422,28625.27,25753.6,24070.52,24070.52,4554.75,True
imdb_wiki,1,Cufe (base),300000,1000,Build,80.3554,0.0,27617.57374,0.9838,0.9838,36.2088,32080.44,27542.7,24070.52,24130.68,8009.92,True
imdb_wiki,2,Cufe (base),301000,1000,Update,0.0,0.2661,27740.56387,0.0,0.9837,36.0483,24130.68,24115.38,24130.68,24073.52,0.0,True
imdb_wiki,3,Cufe (base),500000,1000,Update,0.0,54.0197,46048.40112,0.0,0.9829,21.7163,28628.27,25754.22,24073.52,24073.52,4554.75,True
imdb_wiki,1,SHNSW (ef_search: 40),300000,1000,Build,101.0297,0.0,116.33015,0.9474,0.9474,8596.224,30939.98,28537.12,24073.52,26362.7,6866.46,True
imdb_wiki,2,SHNSW (ef_search: 40),301000,1000,Update,0.0,0.0,119.04144,0.0,0.9437,8400.4358,26362.8,26362.77,26362.7,26362.7,0.1,True
imdb_wiki,3,SHNSW (ef_search: 40),500000,1000,Update,0.0,0.0,120.3804,0.0,0.5797,8307.0,26362.8,26362.77,26362.7,26362.7,0.1,True
imdb_wiki,1,SHNSW (ef_search: 200),300000,1000,Build,100.8233,0.0,314.5721,0.9737,0.9737,3178.9215,33229.16,30825.03,26362.7,28653.93,6866.46,True
imdb_wiki,2,SHNSW (ef_search: 200),301000,1000,Update,0.0,0.0,316.15591,0.0,0.9697,3162.9964,28654.04,28654.02,28653.93,28653.93,0.1,True
imdb_wiki,3,SHNSW (ef_search: 200),500000,1000,Update,0.0,0.0,318.86888,0.0,0.5956,3136.0853,28654.04,28654.02,28653.93,28653.93,0.1,True
imdb_wiki,1,SHNSW (ef_search: 500),300000,1000,Build,98.6814,0.0,590.96503,0.9854,0.9854,1692.1475,35520.39,33114.49,28653.93,30943.62,6866.46,True
imdb_wiki,2,SHNSW (ef_search: 500),301000,1000,Update,0.0,0.0,593.05024,0.0,0.9815,1686.1978,30943.73,30943.72,30943.62,30943.62,0.1,True
imdb_wiki,3,SHNSW (ef_search: 500),500000,1000,Update,0.0,0.0001,595.21079,0.0,0.6028,1680.0771,30943.73,30943.72,30943.62,30943.62,0.1,True
imdb_wiki,1,SHNSW (ef_search: 1000),300000,1000,Build,99.5443,0.0,1037.95791,0.9924,0.9924,963.4302,37810.09,35402.27,30943.62,33234.61,6866.46,True
imdb_wiki,2,SHNSW (ef_search: 1000),301000,1000,Update,0.0,0.0,1043.86353,0.0,0.9883,957.9796,33234.71,33234.71,33234.61,33234.61,0.1,True
imdb_wiki,3,SHNSW (ef_search: 1000),500000,1000,Update,0.0,0.0,1044.83771,0.0,0.6078,957.0864,33234.71,33234.71,33234.61,33234.61,0.1,True
imdb_wiki,1,Faiss HNSW (efSearch: 64),300000,1000,Build,26.1779,0.0,62.53076,0.932,0.932,15992.1303,33234.61,33234.61,33234.61,33234.61,0.0,True
imdb_wiki,2,Faiss HNSW (efSearch: 64),301000,1000,Update,0.0,0.7775,62.92391,0.0,0.932,15892.2106,34382.84,33938.4,33234.61,34382.84,1148.23,True
imdb_wiki,3,Faiss HNSW (efSearch: 64),500000,1000,Update,0.0,20.3295,67.63244,0.0,0.944,14785.8047,35141.96,35130.44,34382.84,35141.96,759.12,True
imdb_wiki,1,Faiss HNSW (efSearch: 128),300000,1000,Build,26.1563,0.0,123.99244,0.9588,0.9588,8065.0076,35141.96,35141.96,35141.96,35141.96,0.0,True
imdb_wiki,2,Faiss HNSW (efSearch: 128),301000,1000,Update,0.0,0.7789,102.8173,0.0,0.9589,9725.99,34382.84,33954.07,33234.61,34382.84,1148.23,True
imdb_wiki,3,Faiss HNSW (efSearch: 128),500000,1000,Update,0.0,20.3862,124.98403,0.0,0.957,8001.0225,35141.96,35130.49,34382.84,35141.96,759.12,True
imdb_wiki,1,Faiss HNSW (efSearch: 256),300000,1000,Build,26.1881,0.0,207.50523,0.9578,0.9578,4819.1557,35141.96,35141.96,35141.96,35141.96,0.0,True
