Dataset,Algorithm,N/K,Value,Time (ms)
insta_1m,single_parallel,K=2,,18.817735835909843
insta_1m,single_parallel,K=5,,20.416947081685066
insta_1m,single_parallel,K=10,,20.59115096926689
insta_1m,single_parallel,K=25,,21.052468568086624
insta_1m,single_parallel,K=50,,20.00715211033821
insta_1m,single_parallel,K=100,,21.441718563437462
insta_1m,single_parallel,K=200,,22.091245278716087
insta_1m,single_parallel,K=500,,23.45586195588112
insta_1m,single_parallel,K=1000,,26.135779917240143
insta_1m,double,N=1000,,0.07006153464317322
insta_1m,double,N=2000,,0.10954402387142181
insta_1m,double,N=4000,,0.18328800797462463
insta_1m,double,N=8000,,0.3479011356830597
insta_1m,double,N=16000,,0.7442422211170197
insta_1m,double,N=32000,,1.8432457000017166
insta_1m,double,N=64000,,4.009285941720009
insta_1m,double,N=128000,,9.212002158164978
insta_1m,double,N=256000,,17.86775141954422
insta_1m,double,N=512000,,32.78748132288456
insta_1m,double,K=1,,51.97158455848694
insta_1m,double,K=2,,54.9148004502058
insta_1m,double,K=5,,51.76885798573494
insta_1m,double,K=10,,53.09079773724079
insta_1m,double,K=25,,53.66199649870396
insta_1m,double,K=50,,54.929887875914574
insta_1m,double,K=100,,56.479817256331444
insta_1m,double,K=200,,58.03258717060089
insta_1m,double,K=500,,68.92281398177147
insta_1m,double,K=1000,,76.08900777995586
insta_1m,double_threaded,N=1000,,0.014306977391242981
insta_1m,double_threaded,N=2000,,0.02104043960571289
insta_1m,double_threaded,N=4000,,0.03100372850894928
insta_1m,double_threaded,N=8000,,0.05887821316719055
insta_1m,double_threaded,N=16000,,0.15228800475597382
insta_1m,double_threaded,N=32000,,0.4267934709787369
insta_1m,double_threaded,N=64000,,1.1884700506925583
insta_1m,double_threaded,N=128000,,2.9236506670713425
insta_1m,double_threaded,N=256000,,6.029767915606499
insta_1m,double_threaded,N=512000,,11.041583493351936
insta_1m,double_threaded,K=1,,19.19904351234436
insta_1m,double_threaded,K=2,,19.161952659487724
insta_1m,double_threaded,K=5,,20.182983949780464
insta_1m,double_threaded,K=10,,20.16613632440567
insta_1m,double_threaded,K=25,,20.892823114991188
insta_1m,double_threaded,K=50,,20.984647795557976
insta_1m,double_threaded,K=100,,20.92544548213482
insta_1m,double_threaded,K=200,,22.962452843785286
insta_1m,double_threaded,K=500,,23.52702245116234
insta_1m,double_threaded,K=1000,,26.040028780698776
mirflickr,single,N=1000,,2.7604997158050537
mirflickr,single,N=2000,,0.08283369243144989
mirflickr,single,N=4000,,0.1357458531856537
mirflickr,single,N=8000,,0.22585876286029816
mirflickr,single,N=16000,,0.4299469292163849
mirflickr,single,N=32000,,0.8992217481136322
mirflickr,single,N=64000,,1.9923653453588486
mirflickr,single,N=128000,,4.198005422949791
mirflickr,single,N=256000,,8.991364389657974
mirflickr,single,N=512000,,18.44434067606926
mirflickr,single,K=1,,33.50329026579857
mirflickr,single,K=2,,34.195007756352425
mirflickr,single,K=5,,37.66701743006706
mirflickr,single,K=10,,35.81248223781586
mirflickr,single,K=25,,36.509016528725624
mirflickr,single,K=50,,41.034530848264694
mirflickr,single,K=100,,41.99404641985893
mirflickr,single,K=200,,43.564822524785995
mirflickr,single,K=500,,49.66750182211399
mirflickr,single,K=1000,,48.79227466881275
mirflickr,single_threaded,N=1000,,0.05797296762466431
mirflickr,single_threaded,N=2000,,0.08065998554229736
mirflickr,single_threaded,N=4000,,0.13441219925880432
mirflickr,single_threaded,N=8000,,0.21999329328536987
mirflickr,single_threaded,N=16000,,0.8383207023143768
mirflickr,single_threaded,N=32000,,1.4731157571077347
mirflickr,single_threaded,N=64000,,2.9916856437921524
mirflickr,single_threaded,N=128000,,6.258945912122726
mirflickr,single_threaded,N=256000,,12.128183618187904
mirflickr,single_threaded,N=512000,,22.522497922182083
mirflickr,single_threaded,K=1,,16.79295301437378
mirflickr,single_threaded,K=2,,20.11275477707386
mirflickr,single_threaded,K=5,,29.25836108624935
mirflickr,single_threaded,K=10,,43.01995970308781
mirflickr,single_threaded,K=25,,75.29824785888195
mirflickr,single_threaded,K=50,,130.59308007359505
mirflickr,single_threaded,K=100,,198.9967878907919
mirflickr,single_threaded,K=200,,289.4450780004263
mirflickr,single_threaded,K=500,,432.86116048693657
mirflickr,single_threaded,K=1000,,438.7342743575573
mirflickr,single_parallel,N=1000,,0.019885599613189697
mirflickr,single_parallel,N=2000,,0.029206275939941406
mirflickr,single_parallel,N=4000,,0.04940107464790344
mirflickr,single_parallel,N=8000,,0.06996653974056244
mirflickr,single_parallel,N=16000,,0.1029428094625473
mirflickr,single_parallel,N=32000,,0.2826601266860962
mirflickr,single_parallel,N=64000,,0.7526092231273651
mirflickr,single_parallel,N=128000,,1.833723857998848
mirflickr,single_parallel,N=256000,,4.109302535653114
mirflickr,single_parallel,N=512000,,8.338792249560356
mirflickr,single_parallel,K=1,,13.357853516936302
mirflickr,single_parallel,K=2,,13.92519474029541
mirflickr,single_parallel,K=5,,14.860974624752998
mirflickr,single_parallel,K=10,,14.415472745895386
mirflickr,single_parallel,K=25,,14.760300517082214
mirflickr,single_parallel,K=50,,17.213355749845505
mirflickr,single_parallel,K=100,,16.571957617998123
mirflickr,single_parallel,K=200,,17.22819358110428
mirflickr,single_parallel,K=500,,18.80129799246788
mirflickr,single_parallel,K=1000,,19.002273678779602
mirflickr,double,N=1000,,0.05879998207092285
mirflickr,double,N=2000,,0.0815466046333313
mirflickr,double,N=4000,,0.13840757310390472
mirflickr,double,N=8000,,0.24245120584964752
mirflickr,double,N=16000,,0.5043633282184601
mirflickr,double,N=32000,,1.242309808731079
mirflickr,double,N=64000,,2.7214623987674713
mirflickr,double,N=128000,,5.796495825052261
mirflickr,double,N=256000,,13.008154928684235
mirflickr,double,N=512000,,24.97381716966629
